PHASE	Cell	PC1	PC2	time
S	C786	0.928451244834501	3.77548155915566	1
S	C383	0.85300705633449	4.64905366300968	1
S	C437	0.707345119398481	3.36970369707523	1
S	C302	0.652811481201283	0.481358438042646	1
S	C705	0.644494041207711	3.48361118064837	1
S	C683	0.597672015908575	2.68324877796001	1
S	C756	0.563605245903459	4.36671283958454	1
S	C404	0.498849291805976	2.62624386900895	1
S	C691	0.472035757308665	4.18336444651497	1
S	C829	0.465979369550554	4.02070347129965	2
S	C662	0.458128916003621	2.46518363840621	2
S	C3	0.444058340263332	2.77825092624368	2
S	C626	0.41005080422678	2.93236855198653	2
S	C745	0.361838466926982	3.48159572940159	2
S	C313	0.34973458184646	3.28065938484975	2
S	C747	0.299253219301155	3.00022257873396	2
S	C680	0.236820582389069	0.949669396356465	2
S	C332	0.232660641001608	4.2472051912244	2
S	C837	0.157782510388021	3.40440202141621	2
S	C743	0.0886855026190667	5.36562651371929	2
S	C235	0.0886581035860499	3.92518177479696	2
S	C704	0.0463707543450411	2.45845571724196	2
S	C721	-0.0217055280460613	3.34837965504963	2
S	C765	-0.0450469448337123	3.20204542227941	2
S	C52	-0.0622500180424067	4.64224468597855	2
S	C476	-0.0826350997417613	2.5873186805117	2
S	C784	-0.11100188367742	4.88004321001563	2
S	C238	-0.144268744404202	4.55797640702777	2
S	C535	-0.171103029592851	3.30085350829661	2
S	C54	-0.217610302112602	4.44888551988708	2
S	C103	-0.261370928097182	3.43066156235308	2
S	C444	-0.274743739403795	2.28072345213682	2
S	C876	-0.277109407083393	4.14500589259275	3
S	C472	-0.305641924597952	3.31052412226487	3
S	C309	-0.306317871441655	1.809420821718	3
S	C273	-0.326998790305239	2.47164860045439	3
S	C669	-0.34104433985029	3.70849600009442	3
S	C393	-0.360003320313283	4.51103200106802	3
S	C89	-0.361941968703352	3.89430341171402	3
S	C6	-0.399448059733262	3.12618925731154	3
S	C717	-0.430722737060502	2.0517283994126	3
S	C798	-0.432935714890381	2.84820009411842	3
S	C335	-0.433348848685223	2.44102292544768	3
S	C715	-0.471103489343283	3.48245151479559	3
S	C1	-0.479453508399896	5.23079969159987	3
S	C222	-0.501935595474301	1.66974728958655	3
S	C671	-0.512363061582968	1.00338999765647	3
S	C246	-0.515518934005387	3.04121136229721	3
S	C45	-0.564117940116141	3.98723106154316	3
S	C822	-0.59443698281325	3.03054162757079	3
S	C606	-0.612230854501309	4.82694839723332	3
S	C15	-0.622318147275511	4.15890679380163	3
S	C512	-0.641462522704699	3.02076775759519	3
S	C84	-0.692947055223068	0.665040831863755	3
S	C519	-0.712240543053995	3.33387297392093	3
S	C333	-0.713297548416719	3.82405321242886	4
S	C163	-0.717953329641462	4.52708777794113	4
S	C172	-0.762192264251731	2.01222335749633	4
S	C567	-0.775885475983643	4.81762812212111	4
S	C664	-0.780289722350177	2.57698778951125	4
S	C198	-0.800263918475504	1.38407776078017	4
S	C379	-0.800548025801544	3.77428198565311	4
S	C448	-0.845758274647752	2.92469322430248	4
S	C456	-0.866061106381548	1.97887391827639	4
S	C352	-0.87161918491158	2.45232725645484	4
S	C841	-0.887181291951789	5.22147551673592	4
S	C463	-0.919705380401133	3.50639166874988	4
S	C783	-0.972436838752618	4.03665071474538	4
S	C308	-0.974868093363422	4.00639106716346	4
S	C217	-0.974938692097571	2.21598641438165	4
S	C666	-0.992664777988936	5.42216029845575	4
S	C477	-1.0096852331901	3.22077203354515	4
