Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KIF14	209.7027983	633.3084118	223.6812268	206.9771147	541.6021664	147.6867593	519.3468837
KIF15	221.4033208	515.9108361	266.3611711	289.7943232	631.7998442	160.5093912	479.0716418
KIF16B	145.4640638	166.8114708	169.4692012	148.5093548	155.0674423	153.5564639	137.8362161
KIF17	94.1638147	103.8966615	92.85127276	96.06024956	106.9077574	101.715013	120.4205987
KIF18A	142.222344	295.3928033	154.8920688	158.0199372	279.6067672	127.7888005	220.5429237
KIF18B	89.69846922	94.67617007	97.73811465	89.68230529	97.91686771	91.22426333	97.16801306
KIF19	104.5310812	107.497387	97.61411547	141.3738937	106.5894077	158.6455296	102.4134582
KIF1A	463.8085012	1009.910857	547.589571	2880.007524	271.7955182	1646.422738	3622.582024
KIF1B	560.6761329	720.2384391	688.4498088	824.1934478	685.4023115	758.4225066	781.8429155
KIF1C	229.7216627	202.3104554	238.5841279	166.257549	188.6090178	154.616545	179.8478045
KIF20A	461.7484826	2760.534722	658.1314738	470.7836348	1973.95092	234.1635295	1857.013073
KIF20B	457.5672068	1440.710849	396.3649667	553.3818439	1320.540942	269.4100136	1505.688356
KIF21A	1452.05166	1098.462523	1404.968827	1139.99316	1149.095402	785.3870172	800.2692799
KIF21B	106.6681052	118.9832232	107.1030993	124.8840823	118.2391733	138.0484708	127.9807314
KIF22	920.2878064	1637.614936	693.0970532	682.4823687	1540.838422	427.2940921	1648.88622
KIF23	191.8908903	634.8592912	209.2705132	212.106364	530.3985937	148.9433904	571.9709998
KIF24	117.2121927	135.9325966	127.0197529	126.1741903	136.4781552	139.8029612	126.7572389
KIF25	95.35139327	100.3508295	95.65513195	101.5489055	100.3064648	104.619322	103.0538725
KIF26A	111.1662403	166.2331333	121.7420396	119.9057802	151.3401298	119.2531218	184.7438758
KIF26B	116.551713	111.6365775	133.3591329	110.8467845	107.5626204	129.7471368	104.5539723
KIF27	120.7467887	138.2941274	123.445109	152.2803839	133.200771	205.0732523	113.0252044
KIF2A	466.8694083	671.8011035	610.0242705	600.6922642	616.8102503	552.5414854	799.3330653
KIF2B	96.33887705	98.00596811	94.5881761	96.2420452	101.0702151	96.10430651	99.15503346
KIF2C	226.7930344	922.1648499	237.4563824	271.1305155	726.9200892	137.038792	767.1109347
KIF3A	126.4418043	118.7157672	127.1297325	164.7336118	117.3567583	158.9036315	110.5516742
KIF3B	401.7567566	363.2069469	423.2046987	511.3168429	416.5558435	691.6269733	326.9535684
KIF3C	123.5633916	238.078453	225.0499995	189.0105025	233.6067131	188.8801483	329.7730883
KIF4A	150.4220065	487.0028825	159.3651336	172.124067	412.2377724	122.6798612	450.5066895
KIF4B	105.7666994	106.2194947	108.743608	103.5781746	104.4636469	96.84007296	102.9401835
KIF5A	99.84588358	97.71310216	102.2302369	103.6043757	97.6957154	98.9029155	105.6561426
KIF5B	706.1655295	842.2247952	607.519365	930.6001314	747.957551	824.1065912	603.6483755
KIF5C	312.6055138	508.6186897	718.3063233	834.8875194	391.1999332	383.9164072	835.8965767
KIF6	122.8326664	121.2173852	116.4342728	120.847064	120.0691358	124.9884135	121.0286927
KIF7	156.9801078	341.7308884	260.2826897	173.345284	300.3410567	220.8642305	208.4246478
KIF9	98.38929521	96.30534502	96.65428619	102.3529692	95.21394318	110.7287726	97.75956112
KIFAP3	527.2376269	409.841874	381.7851391	874.4773321	501.4633679	924.8814305	242.9260444
KIFC1	265.4666758	851.7013737	462.8057321	319.7290733	907.9929923	164.2016087	962.3877816
KIFC2	263.7976413	312.4809601	379.4243075	253.7926588	280.5352456	232.6277617	266.9434114
KIFC3	104.6784186	103.9017008	108.9925584	105.2186168	105.7312447	117.1293959	107.3468995
KILLIN	128.0744407	151.9213615	112.7776851	122.2951558	110.2062452	109.4831413	128.8744285
KIN	102.3892147	110.5007291	111.2632024	115.7289909	110.6679598	108.3907823	112.4888863
